Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,-1.666666666666667,24,-1.666666666666667,24
2,5.0,24,3.333333333333333,48
3,-1.0,26,2.333333333333333,74
4,0.0,16,2.333333333333333,90
5,-0.6666666666666666,10,1.6666666666666665,100
6,4.033333333333333,33,5.699999999999999,133
7,-0.6666666666666666,12,5.033333333333332,145
8,8.587301587301587,23,13.62063492063492,168
9,0.0,19,13.62063492063492,187
10,1.5,44,15.12063492063492,231
11,1.9285714285714286,11,17.049206349206347,242
12,8.333333333333332,48,25.38253968253968,290
13,0.5,12,25.88253968253968,302
14,-2.0,23,23.88253968253968,325
15,0.33333333333333337,28,24.21587301587301,353
16,0.0,15,24.21587301587301,368
17,-1.0555555555555556,19,23.160317460317454,387
18,-4.055555555555555,16,19.1047619047619,403
19,0.33333333333333337,33,19.438095238095233,436
20,3.4444444444444446,30,22.88253968253968,466
21,5.0,31,27.88253968253968,497
22,1.0,15,28.88253968253968,512
23,3.5416666666666665,32,32.424206349206344,544
24,-2.0,19,30.424206349206344,563
25,2.0,18,32.424206349206344,581
26,4.0,18,36.424206349206344,599
27,3.75,27,40.174206349206344,626
28,0.7499999999999993,24,40.924206349206344,650
29,-1.0,20,39.924206349206344,670
30,-1.0,13,38.924206349206344,683
31,-2.0,23,36.924206349206344,706
32,-2.388888888888889,50,34.53531746031746,756
33,-0.5,33,34.03531746031746,789
34,4.2,24,38.23531746031746,813
35,-7.222222222222222,14,31.01309523809524,827
36,-1.3888888888888893,52,29.62420634920635,879
37,0.0,30,29.62420634920635,909
38,-1.6666666666666665,26,27.957539682539682,935
39,-2.0,18,25.957539682539682,953
40,3.0,25,28.957539682539682,978
41,-7.333333333333334,20,21.624206349206347,998
42,1.0,11,22.624206349206347,1009
43,-3.4,24,19.224206349206348,1033
44,6.0,20,25.224206349206348,1053
45,0.0,8,25.224206349206348,1061
46,7.75,31,32.97420634920635,1092
47,2.0,47,34.97420634920635,1139
48,-0.05555555555555558,23,34.91865079365079,1162
49,6.0,36,40.91865079365079,1198
50,0.0,6,40.91865079365079,1204
51,3.2,57,44.118650793650794,1261
52,3.0,20,47.118650793650794,1281
53,2.0,17,49.118650793650794,1298
54,2.5,49,51.618650793650794,1347
55,2.833333333333333,33,54.45198412698413,1380
56,14.0,41,68.45198412698413,1421
57,9.5,44,77.95198412698413,1465
58,1.0,46,78.95198412698413,1511
59,1.0,6,79.95198412698413,1517
60,3.0,13,82.95198412698413,1530
61,1.0,29,83.95198412698413,1559
62,-1.0,59,82.95198412698413,1618
63,-1.0,19,81.95198412698413,1637
64,1.0,18,82.95198412698413,1655
65,2.6,22,85.55198412698412,1677
66,6.0,41,91.55198412698412,1718
67,-2.3000000000000003,60,89.25198412698413,1778
68,-0.5,13,88.75198412698413,1791
69,8.0,19,96.75198412698413,1810
70,1.0,28,97.75198412698413,1838
71,-1.0,17,96.75198412698413,1855
72,3.4444444444444446,21,100.19642857142857,1876
73,6.144444444444445,21,106.34087301587302,1897
74,9.433333333333332,81,115.77420634920635,1978
75,16.944444444444446,109,132.7186507936508,2087
76,-3.0555555555555554,19,129.66309523809525,2106
77,7.0,36,136.66309523809525,2142
78,2.5454545454545454,29,139.20854978354978,2171
79,2.0,15,141.20854978354978,2186
80,-1.5,16,139.70854978354978,2202
81,-1.0,44,138.70854978354978,2246
82,1.0,14,139.70854978354978,2260
83,2.0,27,141.70854978354978,2287
84,2.0,14,143.70854978354978,2301
85,1.0,20,144.70854978354978,2321
86,6.5,26,151.20854978354978,2347
87,3.0,20,154.20854978354978,2367
88,12.81111111111111,70,167.0196608946609,2437
89,5.444444444444445,11,172.46410533910534,2448
90,3.666666666666667,34,176.130772005772,2482
91,9.333333333333332,18,185.46410533910534,2500
92,-1.5555555555555556,12,183.9085497835498,2512
93,-0.5555555555555556,26,183.35299422799426,2538
94,7.849206349206348,72,191.2022005772006,2610
95,4.6,24,195.8022005772006,2634
96,10.5,34,206.3022005772006,2668
97,5.75,21,212.0522005772006,2689
98,-1.5878787878787888,58,210.46432178932182,2747
99,0.8666666666666667,14,211.3309884559885,2761
100,5.883333333333334,49,217.21432178932182,2810
101,2.033333333333333,129,219.24765512265515,2939
102,2.0,5,221.24765512265515,2944
103,-10.216666666666665,27,211.03098845598848,2971
104,-1.1,21,209.93098845598848,2992
