Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,1.5999999999999999,14,1.5999999999999999,14
2,3.0,10,4.6,24
3,-1.0,12,3.5999999999999996,36
4,0.0,9,3.5999999999999996,45
5,-1.0,16,2.5999999999999996,61
6,-0.9,11,1.6999999999999997,72
7,0.0,2,1.6999999999999997,74
8,-0.11111111111111116,31,1.5888888888888886,105
9,0.0,1,1.5888888888888886,106
10,2.0,25,3.5888888888888886,131
11,0.0,1,3.5888888888888886,132
12,0.0,16,3.5888888888888886,148
13,0.0,1,3.5888888888888886,149
14,2.0,25,5.588888888888889,174
15,0.0,2,5.588888888888889,176
16,5.0,28,10.588888888888889,204
17,0.0,2,10.588888888888889,206
18,16.0,26,26.58888888888889,232
19,0.0,2,26.58888888888889,234
20,4.0,22,30.58888888888889,256
21,0.0,1,30.58888888888889,257
22,9.5,24,40.08888888888889,281
23,0.0,1,40.08888888888889,282
24,7.0,42,47.08888888888889,324
25,0.0,1,47.08888888888889,325
26,2.0,21,49.08888888888889,346
27,0.0,1,49.08888888888889,347
28,2.0,21,51.08888888888889,368
29,0.0,1,51.08888888888889,369
30,0.0,20,51.08888888888889,389
31,0.5454545454545454,18,51.634343434343435,407
32,0.0,1,51.634343434343435,408
33,0.0,9,51.634343434343435,417
34,0.0,2,51.634343434343435,419
35,-1.0,1,50.634343434343435,420
36,2.2,27,52.83434343434344,447
37,0.0,1,52.83434343434344,448
38,-1.904761904761905,32,50.92958152958153,480
39,0.0,1,50.92958152958153,481
40,2.0,9,52.92958152958153,490
41,0.0,1,52.92958152958153,491
42,14.428571428571429,25,67.35815295815296,516
43,0.0,1,67.35815295815296,517
44,5.2,25,72.55815295815296,542
45,0.0,1,72.55815295815296,543
46,1.8333333333333333,14,74.39148629148629,557
47,0.0,2,74.39148629148629,559
48,2.5,14,76.89148629148629,573
49,0.0,2,76.89148629148629,575
50,11.0,23,87.89148629148629,598
51,0.0,1,87.89148629148629,599
52,2.0,7,89.89148629148629,606
53,0.0,2,89.89148629148629,608
54,2.5,19,92.39148629148629,627
55,0.0,1,92.39148629148629,628
56,-1.0,10,91.39148629148629,638
57,0.0,1,91.39148629148629,639
58,10.80952380952381,50,102.2010101010101,689
59,0.0,1,102.2010101010101,690
60,-2.238095238095238,14,99.96291486291486,704
61,0.0,1,99.96291486291486,705
62,-1.0,25,98.96291486291486,730
63,0.0,1,98.96291486291486,731
64,1.875,11,100.83791486291486,742
65,0.0,1,100.83791486291486,743
66,1.9166666666666667,17,102.75458152958153,760
67,0.0,1,102.75458152958153,761
68,-8.833333333333334,21,93.9212481962482,782
69,0.0,1,93.9212481962482,783
70,14.999999999999998,24,108.9212481962482,807
71,0.0,1,108.9212481962482,808
72,6.333333333333332,25,115.25458152958153,833
73,0.0,1,115.25458152958153,834
74,10.666666666666666,33,125.9212481962482,867
75,0.0,1,125.9212481962482,868
76,0.8333333333333326,51,126.75458152958153,919
77,0.0,1,126.75458152958153,920
78,3.888888888888889,26,130.64347041847043,946
79,0.0,2,130.64347041847043,948
80,1.5,41,132.14347041847043,989
81,0.0,1,132.14347041847043,990
82,5.666666666666667,15,137.8101370851371,1005
83,0.0,1,137.8101370851371,1006
84,4.0,10,141.8101370851371,1016
85,2.4444444444444446,8,144.25458152958154,1024
86,-0.6666666666666666,11,143.5879148629149,1035
87,7.35,26,150.93791486291488,1061
88,0.0,1,150.93791486291488,1062
89,4.0,18,154.93791486291488,1080
90,0.0,2,154.93791486291488,1082
91,6.666666666666667,28,161.60458152958154,1110
92,0.0,1,161.60458152958154,1111
93,6.166666666666666,45,167.7712481962482,1156
94,0.0,1,167.7712481962482,1157
95,10.2,36,177.97124819624818,1193
96,0.0,1,177.97124819624818,1194
97,-1.8333333333333335,22,176.13791486291484,1216
98,0.0,1,176.13791486291484,1217
99,7.0,26,183.13791486291484,1243
100,0.0,1,183.13791486291484,1244
101,10.0,20,193.13791486291484,1264
102,2.2,24,195.33791486291483,1288
103,0.0,2,195.33791486291483,1290
104,11.0,32,206.33791486291483,1322
105,0.0,1,206.33791486291483,1323
106,2.0,17,208.33791486291483,1340
107,0.0,1,208.33791486291483,1341
108,1.0,17,209.33791486291483,1358
109,0.0,11,209.33791486291483,1369
110,0.0,1,209.33791486291483,1370
111,6.2,27,215.53791486291482,1397
112,0.0,2,215.53791486291482,1399
113,8.5,62,224.03791486291482,1461
114,0.0,1,224.03791486291482,1462
115,12.0,46,236.03791486291482,1508
116,0.0,1,236.03791486291482,1509
117,1.0,27,237.03791486291482,1536
