Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,-7.75,16,-7.75,16
2,-5.0,64,-12.75,80
3,8.766666666666666,91,-3.9833333333333343,171
4,5.2,46,1.216666666666666,217
5,-1.0,21,0.2166666666666659,238
6,0.33333333333333304,55,0.5499999999999989,293
7,5.566666666666666,35,6.116666666666665,328
8,1.0,12,7.116666666666665,340
9,7.6,38,14.716666666666665,378
10,6.750000000000002,85,21.46666666666667,463
11,-8.0,29,13.466666666666669,492
12,2.0,24,15.466666666666669,516
13,1.3333333333333333,42,16.8,558
14,14.5,104,31.3,662
15,0.0,1,31.3,663
16,7.0,45,38.3,708
17,7.444444444444445,25,45.74444444444444,733
18,6.166666666666666,39,51.911111111111104,772
19,6.944444444444445,50,58.85555555555555,822
20,1.5,23,60.35555555555555,845
21,-0.33333333333333326,41,60.02222222222221,886
22,1.5,76,61.52222222222221,962
23,0.0,18,61.52222222222221,980
24,0.0,16,61.52222222222221,996
25,0.5,10,62.02222222222221,1006
26,-2.090909090909091,39,59.93131313131312,1045
27,-0.4,13,59.53131313131312,1058
28,-11.466666666666667,62,48.06464646464645,1120
29,-1.2333333333333334,25,46.83131313131312,1145
