Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,6.083333333333334,28,6.083333333333334,28
2,3.7500000000000004,32,9.833333333333334,60
3,4.0,52,13.833333333333334,112
4,-4.0,36,9.833333333333334,148
5,-6.5,41,3.333333333333334,189
6,6.0,12,9.333333333333334,201
7,0.8888888888888888,24,10.222222222222223,225
8,0.0,3,10.222222222222223,228
9,-7.75,19,2.472222222222223,247
10,-5.0,64,-2.527777777777777,311
11,8.766666666666666,91,6.238888888888889,402
12,5.2,46,11.43888888888889,448
13,-1.0,21,10.43888888888889,469
14,0.33333333333333304,55,10.772222222222222,524
15,5.566666666666666,35,16.33888888888889,559
16,1.0,12,17.33888888888889,571
17,7.6,38,24.93888888888889,609
18,6.750000000000002,85,31.68888888888889,694
19,-8.0,29,23.68888888888889,723
20,2.0,24,25.68888888888889,747
21,1.3333333333333333,42,27.022222222222222,789
22,14.5,104,41.522222222222226,893
23,0.0,1,41.522222222222226,894
24,7.0,45,48.522222222222226,939
25,7.444444444444445,25,55.96666666666667,964
26,6.166666666666666,39,62.13333333333333,1003
27,6.944444444444445,50,69.07777777777778,1053
28,1.5,23,70.57777777777778,1076
29,-0.33333333333333326,41,70.24444444444445,1117
30,1.5,76,71.74444444444445,1193
31,0.0,18,71.74444444444445,1211
32,0.0,16,71.74444444444445,1227
33,0.5,10,72.24444444444445,1237
34,-2.090909090909091,39,70.15353535353536,1276
35,-0.4,13,69.75353535353536,1289
36,-11.466666666666667,62,58.28686868686869,1351
37,-1.2333333333333334,25,57.05353535353535,1376
38,0.0,5,57.05353535353535,1381
39,7.266666666666667,84,64.32020202020202,1465
40,-0.9166666666666665,39,63.403535353535354,1504
41,14.0,57,77.40353535353535,1561
42,9.666666666666668,49,87.07020202020202,1610
43,-1.0,105,86.07020202020202,1715
44,-0.5,25,85.57020202020202,1740
45,-4.8,12,80.77020202020202,1752
46,-1.9761904761904763,65,78.79401154401154,1817
47,0.0,1,78.79401154401154,1818
48,-0.4,44,78.39401154401153,1862
49,0.0,4,78.39401154401153,1866
50,3.0,23,81.39401154401153,1889
51,9.2,51,90.59401154401154,1940
52,-3.2666666666666657,131,87.32734487734487,2071
53,4.0,13,91.32734487734487,2084
54,-6.0,9,85.32734487734487,2093
55,4.521645021645021,139,89.84898989898988,2232
56,-2.8571428571428577,33,86.99184704184702,2265
57,-1.333333333333333,38,85.6585137085137,2303
58,-1.1428571428571428,34,84.51565656565656,2337
59,3.0,9,87.51565656565656,2346
60,0.0,7,87.51565656565656,2353
61,-1.0,14,86.51565656565656,2367
62,5.0,30,91.51565656565656,2397
63,8.6,48,100.11565656565655,2445
64,0.3333333333333335,16,100.44898989898988,2461
65,6.142857142857142,80,106.59184704184702,2541
66,-10.4,51,96.19184704184701,2592
67,-0.8999999999999999,49,95.291847041847,2641
68,-1.0,11,94.291847041847,2652
69,5.0,18,99.291847041847,2670
70,0.0,21,99.291847041847,2691
71,10.9,93,110.19184704184701,2784
72,-0.3333333333333335,8,109.85851370851368,2792
73,-2.5,18,107.35851370851368,2810
74,8.666666666666666,35,116.02518037518035,2845
