Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,6.587301587301587,31,6.587301587301587,31
2,6.5,32,13.087301587301587,63
3,3.4,18,16.487301587301587,81
4,0.0,14,16.487301587301587,95
5,-3.466666666666667,43,13.02063492063492,138
6,-2.6666666666666665,10,10.353968253968254,148
7,-4.0,17,6.3539682539682545,165
8,1.0,13,7.3539682539682545,178
9,-0.7999999999999998,36,6.553968253968255,214
10,0.0,29,6.553968253968255,243
11,-6.0,61,0.5539682539682547,304
12,-0.5,11,0.053968253968254665,315
13,-2.0,17,-1.9460317460317453,332
14,0.0,8,-1.9460317460317453,340
15,6.0,26,4.053968253968255,366
16,5.5,23,9.553968253968254,389
17,-0.9841269841269842,24,8.56984126984127,413
18,3.5,19,12.06984126984127,432
19,5.333333333333333,39,17.4031746031746,471
20,0.0,14,17.4031746031746,485
21,6.666666666666667,35,24.06984126984127,520
22,8.2,20,32.269841269841265,540
23,-2.0,16,30.269841269841265,556
24,3.333333333333333,38,33.6031746031746,594
25,3.5,18,37.1031746031746,612
26,2.0,16,39.1031746031746,628
27,-1.8333333333333335,18,37.269841269841265,646
28,5.166666666666666,22,42.43650793650793,668
29,-6.733333333333334,45,35.703174603174595,713
30,3.2,17,38.9031746031746,730
31,1.4333333333333336,38,40.33650793650793,768
32,4.5,43,44.83650793650793,811
33,3.333333333333333,33,48.169841269841264,844
34,-1.057142857142857,102,47.11269841269841,946
35,5.0,17,52.11269841269841,963
36,0.75,26,52.86269841269841,989
37,-2.5,31,50.36269841269841,1020
38,0.0,17,50.36269841269841,1037
39,2.166666666666666,32,52.52936507936507,1069
40,1.0,33,53.52936507936507,1102
41,-2.0,21,51.52936507936507,1123
42,-1.0,18,50.52936507936507,1141
43,4.916666666666666,8,55.446031746031736,1149
44,1.7254901960784315,24,57.17152194211017,1173
45,5.0,14,62.17152194211017,1187
46,3.8333333333333335,22,66.0048552754435,1209
47,-2.466666666666667,16,63.538188608776835,1225
48,-1.5833333333333335,17,61.9548552754435,1242
49,11.6,31,73.5548552754435,1273
50,-9.0,27,64.5548552754435,1300
51,1.666666666666666,17,66.22152194211017,1317
52,-2.0,21,64.22152194211017,1338
53,0.8666666666666669,11,65.08818860877683,1349
54,2.0,7,67.08818860877683,1356
55,-2.0833333333333335,30,65.0048552754435,1386
56,0.6111111111111107,21,65.61596638655462,1407
57,5.0,15,70.61596638655462,1422
58,3.0,26,73.61596638655462,1448
59,-0.6499999999999999,12,72.96596638655461,1460
60,-2.8,14,70.16596638655462,1474
61,3.0,21,73.16596638655462,1495
62,3.3499999999999996,19,76.51596638655461,1514
63,-1.6666666666666665,27,74.84929971988794,1541
64,-1.333333333333333,36,73.51596638655461,1577
65,0.2,12,73.71596638655461,1589
66,-1.0666666666666664,23,72.64929971988795,1612
67,2.5454545454545454,28,75.1947542653425,1640
68,6.5,26,81.6947542653425,1666
