Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,11.5,54,11.5,54
2,1.0,14,12.5,68
3,8.0,30,20.5,98
4,-10.8,27,9.7,125
5,1.5,30,11.2,155
6,4.833333333333334,28,16.03333333333333,183
7,1.0,19,17.03333333333333,202
8,-3.0,25,14.033333333333331,227
9,-1.0,14,13.033333333333331,241
10,4.0,40,17.03333333333333,281
11,2.0,21,19.03333333333333,302
12,4.0,55,23.03333333333333,357
13,3.75,12,26.78333333333333,369
14,-2.1457219251336896,46,24.637611408199643,415
15,-1.333333333333333,51,23.30427807486631,466
16,0.6000000000000001,39,23.904278074866312,505
17,13.0,50,36.90427807486631,555
18,-0.8333333333333333,25,36.070944741532976,580
19,1.0,20,37.070944741532976,600
20,-0.25,21,36.820944741532976,621
21,-2.0,16,34.820944741532976,637
22,-0.5,23,34.320944741532976,660
23,1.0,22,35.320944741532976,682
24,-0.4545454545454546,27,34.86639928698752,709
25,1.3333333333333335,47,36.19973262032086,756
26,8.333333333333334,87,44.533065953654194,843
27,5.5,31,50.033065953654194,874
28,-1.0,11,49.033065953654194,885
29,-1.3166666666666664,32,47.716399286987524,917
30,2.0,10,49.716399286987524,927
31,-1.0,10,48.716399286987524,937
32,2.333333333333333,33,51.04973262032086,970
33,2.0,45,53.04973262032086,1015
34,-1.0,51,52.04973262032086,1066
35,6.587301587301587,31,58.63703420762245,1097
36,6.5,32,65.13703420762245,1129
37,3.4,18,68.53703420762245,1147
38,0.0,14,68.53703420762245,1161
39,-3.466666666666667,43,65.07036754095579,1204
40,-2.6666666666666665,10,62.40370087428912,1214
41,-4.0,17,58.40370087428912,1231
42,1.0,13,59.40370087428912,1244
43,-0.7999999999999998,36,58.603700874289125,1280
44,0.0,29,58.603700874289125,1309
45,-6.0,61,52.603700874289125,1370
46,-0.5,11,52.103700874289125,1381
47,-2.0,17,50.103700874289125,1398
48,0.0,8,50.103700874289125,1406
49,6.0,26,56.103700874289125,1432
50,5.5,23,61.603700874289125,1455
51,-0.9841269841269842,24,60.619573890162144,1479
52,3.5,19,64.11957389016214,1498
53,5.333333333333333,39,69.45290722349547,1537
54,0.0,14,69.45290722349547,1551
55,6.666666666666667,35,76.11957389016214,1586
56,8.2,20,84.31957389016215,1606
57,-2.0,16,82.31957389016215,1622
58,3.333333333333333,38,85.65290722349548,1660
59,3.5,18,89.15290722349548,1678
60,2.0,16,91.15290722349548,1694
61,-1.8333333333333335,18,89.31957389016215,1712
62,5.166666666666666,22,94.48624055682882,1734
63,-6.733333333333334,45,87.75290722349548,1779
64,3.2,17,90.95290722349549,1796
65,1.4333333333333336,38,92.38624055682882,1834
66,4.5,43,96.88624055682882,1877
67,3.333333333333333,33,100.21957389016215,1910
68,-1.057142857142857,102,99.16243103301929,2012
69,5.0,17,104.16243103301929,2029
70,0.75,26,104.91243103301929,2055
71,-2.5,31,102.41243103301929,2086
72,0.0,17,102.41243103301929,2103
73,2.166666666666666,32,104.57909769968596,2135
74,1.0,33,105.57909769968596,2168
75,-2.0,21,103.57909769968596,2189
76,-1.0,18,102.57909769968596,2207
77,4.916666666666666,8,107.49576436635263,2215
78,1.7254901960784315,24,109.22125456243106,2239
79,5.0,14,114.22125456243106,2253
80,3.8333333333333335,22,118.05458789576439,2275
81,-2.466666666666667,16,115.58792122909772,2291
82,-1.5833333333333335,17,114.00458789576439,2308
83,11.6,31,125.60458789576438,2339
84,-9.0,27,116.60458789576438,2366
85,1.666666666666666,17,118.27125456243105,2383
86,-2.0,21,116.27125456243105,2404
87,0.8666666666666669,11,117.13792122909771,2415
88,2.0,7,119.13792122909771,2422
89,-2.0833333333333335,30,117.05458789576439,2452
90,0.6111111111111107,21,117.6656990068755,2473
91,5.0,15,122.6656990068755,2488
92,3.0,26,125.6656990068755,2514
93,-0.6499999999999999,12,125.0156990068755,2526
94,-2.8,14,122.2156990068755,2540
95,3.0,21,125.2156990068755,2561
96,3.3499999999999996,19,128.5656990068755,2580
97,-1.6666666666666665,27,126.89903234020882,2607
98,-1.333333333333333,36,125.56569900687549,2643
99,0.2,12,125.7656990068755,2655
100,-1.0666666666666664,23,124.69903234020883,2678
101,2.5454545454545454,28,127.24448688566338,2706
102,6.5,26,133.74448688566338,2732
103,-7.5,19,126.24448688566338,2751
104,-2.8,54,123.44448688566338,2805
105,-1.0,19,122.44448688566338,2824
106,4.65,16,127.09448688566339,2840
107,-8.774509803921568,26,118.31997708174183,2866
108,-7.007843137254903,17,111.31213394448692,2883
109,5.5,27,116.81213394448692,2910
110,6.0,50,122.81213394448692,2960
111,5.35,24,128.16213394448692,2984
112,-1.0,16,127.16213394448692,3000
113,-2.746031746031746,45,124.41610219845518,3045
114,3.0,17,127.41610219845518,3062
115,1.0,11,128.41610219845518,3073
