Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,5.0,11,5.0,11
2,2.5444444444444443,49,7.544444444444444,60
3,-6.033333333333335,115,1.5111111111111093,175
4,4.2,8,5.7111111111111095,183
5,0.8668831168831161,60,6.577994227994226,243
6,2.5555555555555554,24,9.133549783549782,267
7,-10.066666666666668,28,-0.9331168831168863,295
8,-0.18888888888888866,40,-1.122005772005775,335
9,-4.0,23,-5.122005772005775,358
10,-6.1078431372549025,62,-11.229848909260678,420
11,6.0,42,-5.229848909260678,462
12,4.6,116,-0.6298489092606783,578
13,0.0,14,-0.6298489092606783,592
14,-0.6666666666666667,34,-1.296515575927345,626
15,2.0,40,0.703484424072655,666
16,1.6,29,2.3034844240726553,695
17,-2.166666666666667,29,0.13681775740598834,724
18,6.633333333333334,88,6.770151090739322,812
19,7.35,22,14.120151090739322,834
20,-0.6666666666666666,34,13.453484424072656,868
21,16.833333333333332,50,30.286817757405988,918
22,-6.875,27,23.411817757405988,945
23,-0.4666666666666666,10,22.945151090739323,955
24,1.0,10,23.945151090739323,965
25,-0.9166666666666665,46,23.028484424072655,1011
26,-0.16666666666666652,45,22.861817757405987,1056
27,2.5,18,25.361817757405987,1074
28,-4.5,74,20.861817757405987,1148
29,-3.1428571428571432,20,17.718960614548845,1168
30,-13.5,28,4.218960614548845,1196
31,7.199999999999999,62,11.418960614548844,1258
32,-2.0,7,9.418960614548844,1265
33,-2.0,27,7.418960614548844,1292
34,-2.3095238095238093,23,5.109436805025035,1315
35,3.0,31,8.109436805025034,1346
36,1.0,16,9.109436805025034,1362
37,-0.16666666666666663,35,8.942770138358368,1397
38,2.2,9,11.142770138358369,1406
39,0.33333333333333326,53,11.476103471691703,1459
40,-1.0,38,10.476103471691703,1497
41,14.0,51,24.4761034716917,1548
42,-2.0,9,22.4761034716917,1557
43,-3.4,28,19.076103471691702,1585
44,-5.0,43,14.076103471691702,1628
45,-6.666666666666666,24,7.409436805025036,1652
46,-1.0,11,6.409436805025036,1663
47,-0.10000000000000009,58,6.309436805025037,1721
48,1.4,27,7.709436805025037,1748
49,1.0,62,8.709436805025037,1810
50,-1.0,82,7.709436805025037,1892
51,5.5,30,13.209436805025037,1922
52,-2.375,32,10.834436805025037,1954
53,2.0,16,12.834436805025037,1970
54,-6.0,54,6.834436805025037,2024
55,-2.0,27,4.834436805025037,2051
56,10.045454545454545,41,14.879891350479582,2092
57,2.0,51,16.879891350479582,2143
58,1.2000000000000002,23,18.07989135047958,2166
59,13.0,68,31.07989135047958,2234
60,6.0,61,37.079891350479585,2295
61,-2.0,54,35.079891350479585,2349
62,1.666666666666667,25,36.74655801714625,2374
63,2.0,23,38.74655801714625,2397
64,1.5,17,40.24655801714625,2414
65,-1.0,11,39.24655801714625,2425
66,5.666666666666667,51,44.91322468381291,2476
67,3.2222222222222223,50,48.135446906035135,2526
68,5.866666666666667,49,54.0021135727018,2575
69,2.0,22,56.0021135727018,2597
70,-0.23333333333333323,40,55.76878023936847,2637
71,0.2,10,55.96878023936847,2647
72,9.0,62,64.96878023936847,2709
73,-5.875,62,59.09378023936847,2771
74,6.0,17,65.09378023936847,2788
75,-3.615384615384615,21,61.47839562398386,2809
76,15.166666666666666,96,76.64506229065053,2905
77,6.0,41,82.64506229065053,2946
78,7.199999999999999,49,89.84506229065053,2995
79,-2.0,12,87.84506229065053,3007
80,1.6666666666666665,22,89.5117289573172,3029
81,5.0,73,94.5117289573172,3102
82,-2.0,21,92.5117289573172,3123
83,7.0,43,99.5117289573172,3166
84,6.3,50,105.8117289573172,3216
85,0.0,18,105.8117289573172,3234
86,-2.0,7,103.8117289573172,3241
87,-1.0,35,102.8117289573172,3276
88,3.5,20,106.3117289573172,3296
89,21.6,208,127.9117289573172,3504
90,5.428571428571429,55,133.3403003858886,3559
91,1.6,22,134.9403003858886,3581
92,5.783333333333333,54,140.72363371922194,3635
93,2.5,26,143.22363371922194,3661
94,3.0,53,146.22363371922194,3714
95,-0.9476190476190473,184,145.2760146716029,3898
96,-4.833333333333333,30,140.44268133826955,3928
97,-3.8,85,136.64268133826954,4013
98,-0.3999999999999999,16,136.24268133826953,4029
99,-0.2999999999999998,42,135.94268133826952,4071
100,13.444444444444445,86,149.38712578271398,4157
101,0.6944444444444444,22,150.08157022715844,4179
102,10.333333333333334,60,160.41490356049178,4239
103,5.5,39,165.91490356049178,4278
104,3.652380952380952,128,169.56728451287273,4406
105,1.8666666666666671,68,171.4339511795394,4474
106,-0.5,31,170.9339511795394,4505
107,0.0,25,170.9339511795394,4530
108,2.0,20,172.9339511795394,4550
109,-1.0,10,171.9339511795394,4560
110,1.666666666666666,46,173.60061784620606,4606
111,4.0,40,177.60061784620606,4646
112,-3.0,25,174.60061784620606,4671
113,-1.6666666666666667,13,172.9339511795394,4684
114,7.0,9,179.9339511795394,4693
115,0.0,10,179.9339511795394,4703
116,4.0,15,183.9339511795394,4718
117,4.583333333333333,47,188.51728451287275,4765
118,1.5,29,190.01728451287275,4794
119,-1.5,101,188.51728451287275,4895
120,9.166666666666666,60,197.6839511795394,4955
121,-0.16666666666666663,11,197.51728451287275,4966
122,5.0,38,202.51728451287275,5004
123,3.5,26,206.01728451287275,5030
124,3.833333333333333,75,209.8506178462061,5105
125,22.583333333333336,65,232.43395117953943,5170
126,5.033333333333333,49,237.46728451287277,5219
127,8.5,58,245.96728451287277,5277
128,0.3333333333333333,23,246.3006178462061,5300
129,4.500000000000002,140,250.8006178462061,5440
130,3.5,12,254.3006178462061,5452
131,-4.5,18,249.8006178462061,5470
132,0.0,21,249.8006178462061,5491
133,-6.1,83,243.70061784620611,5574
134,4.0,22,247.70061784620611,5596
135,0.0,4,247.70061784620611,5600
136,-1.0,25,246.70061784620611,5625
137,-12.8,51,233.9006178462061,5676
138,-1.6666666666666665,20,232.23395117953945,5696
139,3.866666666666667,76,236.10061784620612,5772
140,-3.8,7,232.3006178462061,5779
141,-4.0,10,228.3006178462061,5789
142,-1.8,17,226.5006178462061,5806
143,-0.8095238095238095,43,225.6910940366823,5849
144,-0.02380952380952417,35,225.66728451287278,5884
145,-13.1,70,212.5672845128728,5954
146,2.0,19,214.5672845128728,5973
147,-3.454545454545455,81,211.11273905832732,6054
148,-4.333333333333334,34,206.77940572499398,6088
149,4.414285714285715,73,211.1936914392797,6161
150,2.0,20,213.1936914392797,6181
151,-1.4,28,211.79369143927968,6209
152,1.0,9,212.79369143927968,6218
153,8.2,45,220.99369143927967,6263
154,6.0,20,226.99369143927967,6283
155,14.116666666666667,146,241.11035810594635,6429
156,0.0,30,241.11035810594635,6459
157,-1.6428571428571423,57,239.4675009630892,6516
158,-4.8,9,234.6675009630892,6525
159,-18.30952380952381,72,216.3579771535654,6597
160,-0.5,29,215.8579771535654,6626
161,10.0,40,225.8579771535654,6666
162,16.444444444444443,92,242.30242159800986,6758
163,7.499999999999999,96,249.80242159800986,6854
164,6.666666666666667,74,256.46908826467654,6928
165,3.3306690738754696e-16,25,256.46908826467654,6953
166,1.75,69,258.21908826467654,7022
167,7.0,49,265.21908826467654,7071
168,-4.0,13,261.21908826467654,7084
169,10.114285714285714,37,271.33337397896224,7121
170,-2.4,21,268.93337397896227,7142
171,-4.175,27,264.75837397896225,7169
172,-4.6320512820512825,50,260.12632269691096,7219
173,0.0,9,260.12632269691096,7228
174,-2.0,27,258.12632269691096,7255
175,4.5,52,262.62632269691096,7307
176,-9.666666666666666,23,252.9596560302443,7330
