Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,-2.0,38,-2.0,38
2,-4.0,26,-6.0,64
3,2.0,8,-4.0,72
4,-0.5,9,-4.5,81
5,1.0,14,-3.5,95
6,-4.0,9,-7.5,104
7,7.0,15,-0.5,119
8,-3.988095238095238,41,-4.488095238095238,160
9,7.111111111111111,38,2.6230158730158726,198
10,-4.9411764705882355,26,-2.318160597572363,224
11,10.700000000000001,57,8.381839402427637,281
12,0.0,2,8.381839402427637,283
13,-9.666666666666668,48,-1.2848272642390306,331
14,-5.0,15,-6.284827264239031,346
15,0.6000000000000001,47,-5.684827264239031,393
16,-5.0,18,-10.684827264239031,411
17,-1.0,52,-11.684827264239031,463
18,-2.0,29,-13.684827264239031,492
19,0.4666666666666661,47,-13.218160597572364,539
20,-4.0,16,-17.218160597572364,555
21,-5.0,37,-22.218160597572364,592
22,-7.0,18,-29.218160597572364,610
23,-6.70546218487395,55,-35.923622782446316,665
24,0.3333333333333333,14,-35.59028944911298,679
25,2.3333333333333335,19,-33.256956115779644,698
26,-8.5,14,-41.756956115779644,712
27,-17.200000000000003,70,-58.95695611577965,782
28,-6.666666666666667,34,-65.62362278244632,816
29,-2.8,28,-68.42362278244632,844
30,-4.1,38,-72.52362278244631,882
31,-7.6,15,-80.1236227824463,897
32,-3.1666666666666665,50,-83.29028944911298,947
33,-9.366666666666665,44,-92.65695611577964,991
34,-2.6666666666666665,22,-95.32362278244631,1013
35,-8.566666666666666,35,-103.89028944911297,1048
36,-0.46666666666666656,35,-104.35695611577964,1083
37,-7.0,15,-111.35695611577964,1098
38,14.1,59,-97.25695611577964,1157
39,14.390476190476189,68,-82.86647992530345,1225
40,-6.833333333333334,33,-89.69981325863678,1258
41,3.0,17,-86.69981325863678,1275
42,-2.75,24,-89.44981325863678,1299
43,-1.8492063492063484,30,-91.29901960784314,1329
44,-4.0,34,-95.29901960784314,1363
45,2.125,6,-93.17401960784314,1369
46,-10.666666666666668,113,-103.8406862745098,1482
47,-7.133333333333333,16,-110.97401960784313,1498
48,2.3,26,-108.67401960784314,1524
49,-1.9411764705882353,27,-110.61519607843137,1551
50,-5.5,10,-116.11519607843137,1561
51,-1.9523809523809526,60,-118.06757703081232,1621
52,1.0,18,-117.06757703081232,1639
53,8.0,28,-109.06757703081232,1667
54,-6.066666666666666,13,-115.13424369747898,1680
55,-2.0,35,-117.13424369747898,1715
56,3.0,18,-114.13424369747898,1733
57,2.7,18,-111.43424369747898,1751
58,-3.333333333333333,24,-114.7675770308123,1775
59,-1.0,8,-115.7675770308123,1783
60,2.5,15,-113.2675770308123,1798
61,-4.0,8,-117.2675770308123,1806
62,1.0,21,-116.2675770308123,1827
