Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score
1,11.0,25,11.0
2,0.4,28,11.4
3,-2.5,12,8.9
4,-12.583333333333334,21,-3.6833333333333336
5,-0.8333333333333339,38,-4.5166666666666675
6,2.6,30,-1.9166666666666674
7,2.333333333333333,33,0.41666666666666563
8,7.2,28,7.616666666666665
9,0.5,35,8.116666666666665
10,0.0,21,8.116666666666665
11,-4.5,25,3.6166666666666654
12,0.5,40,4.116666666666665
13,7.416666666666667,48,11.533333333333331
14,0.833333333333333,30,12.366666666666664
15,-7.833333333333333,36,4.5333333333333306
16,-7.666666666666667,26,-3.1333333333333364
17,2.0,20,-1.1333333333333364
18,15.5,35,14.366666666666664
19,2.142857142857143,28,16.509523809523806
20,-2.220446049250313e-16,29,16.509523809523806
21,4.083333333333333,24,20.592857142857138
22,1.9999999999999998,44,22.592857142857138
23,10.81904761904762,28,33.41190476190476
24,2.25,24,35.66190476190476
25,-4.0,29,31.661904761904758
26,0.0,20,31.661904761904758
27,4.0,47,35.66190476190476
28,6.791666666666666,36,42.45357142857142
29,-0.5,15,41.95357142857142
30,0.0,4,41.95357142857142
31,1.75,29,43.70357142857142
32,-1.75,8,41.95357142857142
33,2.0,16,43.95357142857142
34,1.0,6,44.95357142857142
35,0.0,13,44.95357142857142
36,0.0,1,44.95357142857142
37,-6.5,3,38.45357142857142
38,-7.942857142857142,27,30.51071428571428
39,-6.071428571428571,13,24.43928571428571
40,2.5,5,26.93928571428571
41,4.0,29,30.93928571428571
42,-3.0,11,27.93928571428571
43,2.0,14,29.93928571428571
44,-3.571428571428571,6,26.36785714285714
45,-4.75,10,21.61785714285714
46,-0.9047619047619049,13,20.713095238095235
47,-8.666666666666668,36,12.046428571428567
48,-5.4,10,6.646428571428567
49,-1.8333333333333333,17,4.813095238095234
50,-5.25,19,-0.4369047619047661
51,-4.964285714285714,34,-5.4011904761904805
52,4.0,14,-1.4011904761904805
53,1.0,20,-0.40119047619048054
54,5.0,21,4.5988095238095195
55,-3.333333333333333,11,1.2654761904761864
56,1.0,21,2.2654761904761864
57,-0.3333333333333339,21,1.9321428571428525
58,-1.0,19,0.9321428571428525
59,-1.0,12,-0.0678571428571475
60,0.0,4,-0.0678571428571475
61,-1.8,17,-1.8678571428571475
62,-3.333333333333333,19,-5.20119047619048
63,-2.0,11,-7.20119047619048
64,-1.0,24,-8.20119047619048
65,4.2,13,-4.001190476190479
66,0.8088235294117647,26,-3.192366946778715
67,-1.75,11,-4.942366946778715
68,1.5,6,-3.442366946778715
69,2.833333333333333,24,-0.6090336134453818
70,-2.6666666666666665,52,-3.2757002801120483
71,2.25,21,-1.0257002801120483
72,2.95,24,1.924299719887952
73,-1.0,31,0.9242997198879519
74,2.0,9,2.924299719887952
75,3.0,18,5.9242997198879515
76,-6.0,8,-0.07570028011204855
77,-1.25,15,-1.3257002801120485
78,-0.75,10,-2.0757002801120485
79,0.0,9,-2.0757002801120485
80,-0.8245098039215684,22,-2.900210084033617
81,-0.6153846153846154,7,-3.5155946994182323
82,3.583333333333333,36,0.06773863391510071
83,4.128571428571429,33,4.19631006248653
84,-10.5,43,-6.30368993751347
85,2.3846153846153846,7,-3.9190745528980853
86,5.333333333333334,28,1.4142587804352487
87,-0.9411764705882353,13,0.4730823098470134
88,-0.6666666666666666,8,-0.19358435681965325
89,6.0,17,5.806415643180347
90,0.33333333333333326,12,6.13974897651368
91,-1.6666666666666667,10,4.473082309847013
92,2.0,8,6.473082309847013
93,0.09523809523809534,21,6.5683204050851085
94,2.0,9,8.568320405085109
95,0.0,9,8.568320405085109
96,-3.0,12,5.5683204050851085
97,1.0,12,6.5683204050851085
98,0.3333333333333333,4,6.9016537384184415
99,-1.0,5,5.9016537384184415
100,-1.0,7,4.9016537384184415
101,-5.0,20,-0.09834626158155846
102,-8.0,32,-8.098346261581558
103,8.9,31,0.8016537384184428
104,-11.5,26,-10.698346261581557
105,-2.0,32,-12.698346261581557
106,-14.433333333333334,35,-27.131679594914893
107,0.6666666666666665,33,-26.465012928248225
108,-2.5,25,-28.965012928248225
109,-5.0,21,-33.96501292824823
110,6.5,27,-27.46501292824823
111,8.666666666666668,16,-18.79834626158156
112,2.4,37,-16.398346261581562
113,2.0,2,-14.398346261581562
114,0.0,4,-14.398346261581562
115,-1.7999999999999998,6,-16.198346261581563
