Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,0.0,14,0.0,14
2,-4.6,18,-4.6,32
3,-0.5,46,-5.1,78
4,0.3999999999999999,39,-4.699999999999999,117
5,-1.5,28,-6.199999999999999,145
6,6.75,30,0.5500000000000007,175
7,-1.25,16,-0.6999999999999993,191
8,0.0,20,-0.6999999999999993,211
9,2.0,5,1.3000000000000007,216
10,0.0,2,1.3000000000000007,218
11,1.0,5,2.3000000000000007,223
12,1.5,18,3.8000000000000007,241
13,-0.6666666666666665,40,3.133333333333334,281
14,1.6121212121212123,32,4.745454545454546,313
15,-1.666666666666667,12,3.078787878787879,325
16,-2.937878787878788,15,0.1409090909090911,340
17,-9.25,45,-9.10909090909091,385
18,-0.5,16,-9.60909090909091,401
19,-9.666666666666666,42,-19.275757575757574,443
20,1.0,14,-18.275757575757574,457
21,-2.0,6,-20.275757575757574,463
22,-7.949999999999999,56,-28.225757575757573,519
23,-8.333333333333332,6,-36.559090909090905,525
24,7.7666666666666675,85,-28.79242424242424,610
25,0.0,7,-28.79242424242424,617
26,-2.65,12,-31.442424242424238,629
27,0.5,7,-30.942424242424238,636
28,4.333333333333333,8,-26.609090909090906,644
29,-1.583333333333333,28,-28.192424242424238,672
30,-4.75,17,-32.94242424242424,689
31,3.5,12,-29.442424242424238,701
32,5.277777777777778,48,-24.16464646464646,749
33,-1.5,7,-25.66464646464646,756
34,12.666666666666668,40,-12.997979797979792,796
35,1.2000000000000002,35,-11.797979797979792,831
36,0.6,9,-11.197979797979793,840
37,0.6,15,-10.597979797979793,855
38,-3.0,14,-13.597979797979793,869
39,3.0,3,-10.597979797979793,872
40,0.0,2,-10.597979797979793,874
41,4.0,24,-6.597979797979793,898
42,-2.0,6,-8.597979797979793,904
43,1.5,25,-7.097979797979793,929
44,3.6666666666666665,13,-3.4313131313131264,942
45,4.0,15,0.5686868686868736,957
46,0.0,5,0.5686868686868736,962
47,7.616666666666667,39,8.18535353535354,1001
48,-2.633333333333333,49,5.552020202020207,1050
49,3.166666666666667,13,8.718686868686873,1063
50,-2.0,6,6.7186868686868735,1069
51,-0.06666666666666687,69,6.652020202020207,1138
52,-5.5,13,1.152020202020207,1151
53,6.2,23,7.352020202020207,1174
54,0.0,24,7.352020202020207,1198
55,0.5,11,7.852020202020207,1209
56,-0.6666666666666666,12,7.18535353535354,1221
57,-0.33333333333333326,7,6.852020202020207,1228
58,1.5,3,8.352020202020206,1231
59,1.0,22,9.352020202020206,1253
60,-1.6749999999999998,48,7.6770202020202065,1301
61,14.05952380952381,29,21.736544011544016,1330
62,2.0,27,23.736544011544016,1357
63,2.1,38,25.836544011544017,1395
64,-2.6666666666666665,7,23.16987734487735,1402
65,-5.916666666666666,16,17.253210678210685,1418
66,0.0,1,17.253210678210685,1419
67,2.0,10,19.253210678210685,1429
68,2.2,4,21.453210678210684,1433
69,0.2,4,21.653210678210684,1437
70,1.5999999999999996,32,23.253210678210685,1469
71,1.3333333333333335,19,24.586544011544017,1488
72,3.3333333333333335,33,27.91987734487735,1521
73,3.6428571428571423,27,31.56273448773449,1548
74,2.7,29,34.26273448773449,1577
75,6.5,38,40.76273448773449,1615
76,-1.6363636363636362,32,39.12637085137086,1647
77,-6.607142857142858,25,32.519227994228004,1672
78,0.5,13,33.019227994228004,1685
79,-1.3333333333333335,37,31.68589466089467,1722
80,6.785714285714285,45,38.47160894660895,1767
81,-3.0,22,35.47160894660895,1789
82,-7.507375957375958,101,27.964232989232997,1890
83,2.25,24,30.214232989232997,1914
84,1.5,26,31.714232989232997,1940
85,2.0833333333333335,52,33.79756632256633,1992
86,-8.3,19,25.497566322566332,2011
87,-4.55,56,20.94756632256633,2067
88,0.44999999999999996,39,21.39756632256633,2106
89,1.0,23,22.39756632256633,2129
90,5.666666666666666,46,28.064232989233,2175
91,2.75,24,30.814232989233,2199
92,3.0,28,33.814232989233,2227
93,-3.75,23,30.064232989233,2250
94,3.2,29,33.264232989233,2279
95,-0.5,25,32.764232989233,2304
96,-1.8333333333333335,26,30.93089965589967,2330
97,1.0,18,31.93089965589967,2348
98,-6.9714285714285715,27,24.959471084471097,2375
99,0.0,9,24.959471084471097,2384
100,3.833333333333333,47,28.79280441780443,2431
101,3.5,65,32.29280441780443,2496
102,1.0,18,33.29280441780443,2514
103,-3.0,16,30.292804417804433,2530
104,0.0,27,30.292804417804433,2557
105,-2.4,18,27.892804417804435,2575
106,-1.0,11,26.892804417804435,2586
107,0.25,28,27.142804417804435,2614
108,2.0,6,29.142804417804435,2620
109,0.5833333333333333,15,29.726137751137767,2635
110,-1.4166666666666667,18,28.3094710844711,2653
111,-1.5,22,26.8094710844711,2675
112,-8.5,25,18.3094710844711,2700
