Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,-10.733333333333334,45,-10.733333333333334,45
2,-14.940476190476192,30,-25.673809523809524,75
3,-12.333333333333334,38,-38.00714285714286,113
4,-10.0,35,-48.00714285714286,148
5,-5.857142857142858,9,-53.864285714285714,157
6,0.0888888888888889,12,-53.775396825396825,169
7,8.0,22,-45.775396825396825,191
8,2.0,38,-43.775396825396825,229
9,3.0,12,-40.775396825396825,241
10,0.5,14,-40.275396825396825,255
11,12.5,33,-27.775396825396825,288
12,-5.0,25,-32.775396825396825,313
13,4.0,12,-28.775396825396825,325
14,2.75,10,-26.025396825396825,335
15,-8.0,12,-34.025396825396825,347
16,-7.833333333333334,21,-41.85873015873016,368
17,7.666666666666666,23,-34.1920634920635,391
18,-0.4666666666666666,13,-34.658730158730165,404
19,-2.5,9,-37.158730158730165,413
20,-2.0,13,-39.158730158730165,426
21,-1.1333333333333333,37,-40.2920634920635,463
22,-0.3666666666666667,13,-40.658730158730165,476
23,-0.6666666666666667,20,-41.32539682539683,496
24,-1.5333333333333337,35,-42.85873015873016,531
25,-3.966666666666667,33,-46.82539682539683,564
26,-9.666666666666666,24,-56.492063492063494,588
27,-6.4,32,-62.89206349206349,620
28,-1.2000000000000002,25,-64.09206349206349,645
29,0.6666666666666667,27,-63.425396825396824,672
30,-0.25,14,-63.675396825396824,686
31,-2.25,33,-65.92539682539683,719
32,-2.1666666666666665,16,-68.0920634920635,735
33,-4.8,39,-72.8920634920635,774
34,-0.5833333333333333,53,-73.47539682539683,827
35,1.4,12,-72.07539682539682,839
36,-4.0,13,-76.07539682539682,852
37,2.61437908496732,35,-73.4610177404295,887
38,0.5,10,-72.9610177404295,897
39,1.0,9,-71.9610177404295,906
40,1.0454545454545454,10,-70.91556319497495,916
41,0.5,8,-70.41556319497495,924
42,-2.5,8,-72.91556319497495,932
43,-2.5,9,-75.41556319497495,941
44,-1.5,10,-76.91556319497495,951
45,-3.416666666666667,26,-80.33222986164162,977
46,1.3333333333333335,16,-78.9988965283083,993
47,-3.5,18,-82.4988965283083,1011
48,-1.7777777777777775,30,-84.27667430608606,1041
49,5.666666666666667,10,-78.6100076394194,1051
50,5.5,20,-73.1100076394194,1071
51,0.8888888888888888,17,-72.22111875053051,1088
52,-3.0,17,-75.22111875053051,1105
53,1.0,11,-74.22111875053051,1116
54,0.0,7,-74.22111875053051,1123
55,2.0,10,-72.22111875053051,1133
56,1.7499999999999993,39,-70.47111875053051,1172
57,-1.416666666666667,39,-71.88778541719718,1211
58,1.1666666666666665,8,-70.72111875053051,1219
59,-0.3333333333333333,5,-71.05445208386384,1224
60,1.3333333333333333,8,-69.72111875053051,1232
61,0.666666666666667,28,-69.05445208386384,1260
62,-0.6333333333333337,36,-69.68778541719718,1296
63,-3.333333333333333,54,-73.0211187505305,1350
64,9.95,36,-63.0711187505305,1386
65,-3.25,31,-66.3211187505305,1417
66,2.0,31,-64.3211187505305,1448
67,4.0,30,-60.3211187505305,1478
68,-9.333333333333332,28,-69.65445208386383,1506
69,-4.666666666666667,21,-74.3211187505305,1527
70,4.2,23,-70.1211187505305,1550
71,1.0,21,-69.1211187505305,1571
72,3.333333333333334,18,-65.78778541719717,1589
73,-3.166666666666667,18,-68.95445208386384,1607
74,-5.857142857142858,22,-74.8115949410067,1629
75,0.3333333333333333,14,-74.47826160767337,1643
76,-3.166666666666667,40,-77.64492827434005,1683
77,6.0,33,-71.64492827434005,1716
78,6.2,35,-65.44492827434004,1751
79,-3.333333333333333,33,-68.77826160767337,1784
80,9.95,37,-58.82826160767337,1821
81,1.1666666666666665,24,-57.661594941006705,1845
82,-2.0,17,-59.661594941006705,1862
83,-0.3999999999999999,14,-60.0615949410067,1876
84,3.2,12,-56.8615949410067,1888
85,-6.333333333333333,23,-63.194928274340036,1911
86,-3.333333333333333,15,-66.52826160767337,1926
87,0.3333333333333335,19,-66.19492827434004,1945
88,7.2,16,-58.99492827434004,1961
89,4.6,18,-54.39492827434004,1979
90,-9.157142857142857,39,-63.5520711314829,2018
91,2.666666666666667,17,-60.88540446481623,2035
92,4.0,12,-56.88540446481623,2047
93,-11.333333333333334,27,-68.21873779814956,2074
94,0.20000000000000018,18,-68.01873779814956,2092
95,-1.333333333333333,19,-69.35207113148289,2111
96,-4.333333333333333,28,-73.68540446481622,2139
97,9.95,37,-63.73540446481621,2176
98,0.0,13,-63.73540446481621,2189
99,-6.0,13,-69.73540446481621,2202
100,-3.733333333333333,22,-73.46873779814955,2224
101,-5.0,28,-78.46873779814955,2252
102,-1.3333333333333333,30,-79.80207113148288,2282
103,-2.0,5,-81.80207113148288,2287
104,-3.0,22,-84.80207113148288,2309
105,4.75,18,-80.05207113148288,2327
106,0.0,6,-80.05207113148288,2333
107,-0.8,9,-80.85207113148287,2342
108,-5.666666666666667,29,-86.51873779814954,2371
109,-7.4,13,-93.91873779814955,2384
