Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,0.0,6,0.0,6
2,-3.0,4,-3.0,10
3,0.33333333333333337,59,-2.6666666666666665,69
4,-2.0,11,-4.666666666666666,80
5,-4.0,19,-8.666666666666666,99
6,5.025,97,-3.6416666666666657,196
7,1.3666666666666667,56,-2.274999999999999,252
8,4.578787878787878,27,2.303787878787879,279
9,5.833333333333334,33,8.137121212121214,312
10,4.0,14,12.137121212121214,326
11,3.0000000000000004,56,15.137121212121214,382
12,2.5,82,17.637121212121215,464
13,1.1,35,18.737121212121217,499
14,1.0,33,19.737121212121217,532
15,12.528571428571428,70,32.26569264069265,602
16,0.3333333333333335,27,32.599025974025984,629
17,2.0,7,34.599025974025984,636
18,17.2,105,51.79902597402598,741
19,7.833333333333334,64,59.632359307359316,805
20,9.333333333333332,44,68.96569264069265,849
21,-10.0,42,58.96569264069265,891
22,12.333333333333332,63,71.29902597402598,954
23,-8.821428571428571,46,62.47759740259741,1000
24,-2.333333333333333,24,60.144264069264075,1024
25,-1.1666666666666667,69,58.97759740259741,1093
26,-1.6666666666666667,17,57.31093073593075,1110
27,-3.625,65,53.68593073593075,1175
28,-3.7787878787878784,99,49.907142857142865,1274
29,2.5,17,52.407142857142865,1291
30,1.0,9,53.407142857142865,1300
31,1.4222222222222225,35,54.82936507936509,1335
32,0.8333333333333333,23,55.662698412698425,1358
33,0.0,12,55.662698412698425,1370
34,0.0,15,55.662698412698425,1385
35,0.0,1,55.662698412698425,1386
36,1.9333333333333333,43,57.596031746031755,1429
37,4.333333333333333,36,61.92936507936509,1465
38,9.11904761904762,71,71.0484126984127,1536
39,-4.066666666666666,66,66.98174603174604,1602
40,1.342857142857143,51,68.32460317460318,1653
41,1.8333333333333335,68,70.15793650793651,1721
42,-4.25,32,65.90793650793651,1753
43,-4.0,58,61.90793650793651,1811
44,0.16666666666666674,78,62.074603174603176,1889
45,1.9477124183006536,28,64.02231559290382,1917
