Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score
1,1.0,26,1.0
2,8.5,28,9.5
3,4.9,29,14.4
4,6.1,32,20.5
5,-1.7,48,18.8
6,-4.583333333333333,57,14.216666666666669
7,6.5,8,20.71666666666667
8,-4.25,34,16.46666666666667
9,3.5,18,19.96666666666667
10,-3.0,26,16.96666666666667
11,10.45238095238095,41,27.419047619047618
12,-5.0,27,22.419047619047618
13,12.0,42,34.41904761904762
14,10.0,51,44.41904761904762
15,-10.25,41,34.16904761904762
16,4.2,17,38.36904761904762
17,3.3333333333333335,58,41.702380952380956
18,9.333333333333332,29,51.03571428571429
19,6.333333333333332,32,57.36904761904762
20,4.0,12,61.36904761904762
21,1.3809523809523812,32,62.75
22,4.5,18,67.25
23,-4.0,29,63.25
24,2.666666666666667,24,65.91666666666667
25,15.258823529411764,54,81.17549019607844
26,-2.583333333333333,32,78.59215686274511
27,-0.2333333333333334,42,78.35882352941178
28,-2.0,23,76.35882352941178
29,0.75,8,77.10882352941178
30,-1.0,3,76.10882352941178
31,0.0,3,76.10882352941178
32,-3.0,10,73.10882352941178
33,0.0,9,73.10882352941178
34,2.0,11,75.10882352941178
35,9.1,36,84.20882352941177
36,5.545454545454545,25,89.75427807486632
37,-1.6666666666666665,42,88.08761140819965
38,2.0,12,90.08761140819965
39,3.128571428571429,49,93.21618283677108
40,7.5,19,100.71618283677108
41,4.0,22,104.71618283677108
42,1.833333333333333,28,106.54951617010441
43,-6.4,42,100.1495161701044
44,1.0,38,101.1495161701044
45,-1.8333333333333335,17,99.31618283677108
46,-2.8,32,96.51618283677108
47,11.25,31,107.76618283677108
48,0.47619047619047583,54,108.24237331296156
49,0.0,5,108.24237331296156
50,-0.5,20,107.74237331296156
51,-1.1666666666666665,47,106.57570664629489
52,-3.0,37,103.57570664629489
53,-0.5,14,103.07570664629489
54,-2.166666666666667,13,100.90903997962822
55,12.333333333333332,48,113.24237331296155
56,4.258823529411765,49,117.50119684237332
57,3.5,18,121.00119684237332
58,1.5,8,122.50119684237332
59,-0.666666666666667,26,121.83453017570665
60,2.6666666666666665,46,124.50119684237332
61,10.75,27,135.2511968423733
62,-2.666666666666667,20,132.58453017570665
63,4.666666666666666,49,137.2511968423733
64,4.666666666666667,39,141.91786350903996
65,1.3333333333333333,8,143.2511968423733
66,1.0,19,144.2511968423733
67,0.3333333333333335,20,144.58453017570665
68,9.5,48,154.08453017570665
69,-2.0,11,152.08453017570665
70,-1.0,15,151.08453017570665
71,-1.9166666666666667,26,149.16786350904
72,9.5,28,158.66786350904
73,5.142857142857142,37,163.81072065189713
74,3.0,10,166.81072065189713
75,2.75,14,169.56072065189713
76,2.0,43,171.56072065189713
77,-1.0,7,170.56072065189713
78,-3.0,8,167.56072065189713
79,0.6666666666666667,4,168.22738731856379
80,-1.666666666666667,23,166.56072065189713
81,-0.5,22,166.06072065189713
82,-11.4,49,154.66072065189712
83,2.0,26,156.66072065189712
84,-1.75,28,154.91072065189712
85,-5.5,26,149.41072065189712
86,-2.166666666666667,37,147.24405398523047
87,1.0,10,148.24405398523047
88,-1.6666666666666665,34,146.5773873185638
89,-5.0,33,141.5773873185638
90,2.5999999999999996,35,144.1773873185638
91,6.0,6,150.1773873185638
92,6.30952380952381,37,156.48691112808763
93,0.0,6,156.48691112808763
94,-2.0,14,154.48691112808763
95,-2.8000000000000007,26,151.68691112808762
96,-0.8888888888888888,39,150.79802223919873
97,1.5,9,152.29802223919873
98,0.75,13,153.04802223919873
99,-3.4545454545454546,17,149.59347678465326
100,5.0,28,154.59347678465326
101,27.75,68,182.34347678465326
102,0.5,28,182.84347678465326
103,-2.0,4,180.84347678465326
104,-2.0,3,178.84347678465326
105,0.33333333333333326,5,179.1768101179866
106,-7.441176470588236,26,171.73563364739837
107,0.0,2,171.73563364739837
108,0.6666666666666667,5,172.40230031406503
109,0.0,1,172.40230031406503
110,1.0,10,173.40230031406503
111,2.0,4,175.40230031406503
112,-1.0,3,174.40230031406503
113,4.0,5,178.40230031406503
114,1.0,6,179.40230031406503
115,0.0,1,179.40230031406503
116,3.2,6,182.60230031406502
117,-1.0,20,181.60230031406502
118,-2.0,4,179.60230031406502
119,3.0,5,182.60230031406502
120,0.0,2,182.60230031406502
121,0.0,3,182.60230031406502
122,0.0,7,182.60230031406502
123,-2.0,3,180.60230031406502
124,1.0,5,181.60230031406502
125,-1.8,8,179.802300314065
126,-3.8,29,176.002300314065
127,-3.666666666666667,11,172.33563364739834
128,-3.0,7,169.33563364739834
129,2.0,19,171.33563364739834
130,4.0,26,175.33563364739834
131,-0.25,19,175.08563364739834
132,0.3333333333333333,7,175.41896698073168
133,0.08333333333333326,12,175.50230031406502
134,4.5,19,180.00230031406502
135,-1.0,6,179.00230031406502
136,0.0,2,179.00230031406502
137,-3.8,17,175.202300314065
138,-0.25,9,174.952300314065
139,-2.75,12,172.202300314065
140,1.0,5,173.202300314065
141,-2.0,26,171.202300314065
142,-1.0,20,170.202300314065
143,1.0,17,171.202300314065
144,-0.6666666666666667,8,170.53563364739836
145,-0.5,4,170.03563364739836
146,1.0,10,171.03563364739836
147,0.0,1,171.03563364739836
148,-1.0,2,170.03563364739836
149,0.0,2,170.03563364739836
150,0.6666666666666666,36,170.702300314065
151,-2.0,36,168.702300314065
152,0.0,2,168.702300314065
153,-1.0,3,167.702300314065
154,-3.0,7,164.702300314065
155,0.0,12,164.702300314065
156,-1.0,6,163.702300314065
157,-2.0,15,161.702300314065
158,-2.0,14,159.702300314065
159,-4.75,20,154.952300314065
160,1.0,4,155.952300314065
161,0.0,4,155.952300314065
162,0.0,5,155.952300314065
163,0.0,4,155.952300314065
164,0.666666666666667,15,156.61896698073167
165,0.3333333333333333,1,156.952300314065
166,-2.0,2,154.952300314065
167,-2.0,3,152.952300314065
168,-4.916666666666667,9,148.03563364739836
169,0.0,7,148.03563364739836
170,-0.5,12,147.53563364739836
171,-0.25,31,147.28563364739836
172,-1.0,3,146.28563364739836
173,2.0,37,148.28563364739836
174,4.6,21,152.88563364739835
175,0.5,22,153.38563364739835
176,-1.0,34,152.38563364739835
177,3.6,18,155.98563364739834
178,-3.0,8,152.98563364739834
179,2.2,17,155.18563364739833
180,-7.571428571428571,9,147.61420507596975
181,-2.25,10,145.36420507596975
182,-1.0,13,144.36420507596975
183,2.5,9,146.86420507596975
184,4.2,12,151.06420507596974
185,-5.666666666666667,18,145.39753840930308
186,0.0,9,145.39753840930308
187,-2.25,13,143.14753840930308
188,2.0,9,145.14753840930308
189,2.2,17,147.34753840930307
190,1.0,8,148.34753840930307
191,1.0,22,149.34753840930307
192,2.0833333333333335,15,151.4308717426364
193,-3.666666666666667,19,147.76420507596976
194,0.0,7,147.76420507596976
195,-2.0,26,145.76420507596976
196,-0.7333333333333333,19,145.03087174263644
197,1.0,3,146.03087174263644
198,3.0,23,149.03087174263644
199,1.0588235294117645,23,150.0896952720482
200,0.0,10,150.0896952720482
201,0.0,7,150.0896952720482
202,1.0,10,151.0896952720482
203,2.0,7,153.0896952720482
204,3.2,29,156.2896952720482
205,-6.5,26,149.7896952720482
206,1.0,1,150.7896952720482
207,-4.333333333333333,15,146.45636193871485
208,-0.1765873015873014,42,146.27977463712756
209,7.666666666666667,25,153.94644130379422
210,2.0,17,155.94644130379422
211,1.0,9,156.94644130379422
212,2.0,11,158.94644130379422
213,0.0,3,158.94644130379422
214,-2.0,7,156.94644130379422
215,1.0,3,157.94644130379422
216,-2.0,3,155.94644130379422
217,3.0,8,158.94644130379422
218,8.166666666666666,30,167.11310797046087
219,-7.378787878787878,17,159.734320091673
220,-2.25,12,157.484320091673
221,2.0,13,159.484320091673
222,-3.0,4,156.484320091673
223,-2.333333333333333,19,154.15098675833966
224,-2.0,16,152.15098675833966
225,0.0,11,152.15098675833966
226,0.0,3,152.15098675833966
227,3.0,6,155.15098675833966
228,2.0,3,157.15098675833966
229,0.0,3,157.15098675833966
230,-0.5,8,156.65098675833966
231,-2.0,5,154.65098675833966
232,-0.5,4,154.15098675833966
233,0.0,3,154.15098675833966
234,1.0833333333333333,12,155.234320091673
235,-0.25,3,154.984320091673
236,0.0,3,154.984320091673
237,-2.0,3,152.984320091673
238,-2.0,12,150.984320091673
239,0.0,4,150.984320091673
240,0.0,29,150.984320091673
241,2.0,5,152.984320091673
242,-4.0,5,148.984320091673
243,-3.0,26,145.984320091673
244,4.0,23,149.984320091673
245,0.0,14,149.984320091673
246,0.7555555555555553,25,150.73987564722856
247,9.0,26,159.73987564722856
248,-0.9166666666666667,37,158.8232089805619
249,-1.0,41,157.8232089805619
250,4.0,20,161.8232089805619
251,0.0,9,161.8232089805619
252,4.333333333333333,50,166.15654231389524
253,0.0,14,166.15654231389524
254,3.7,23,169.85654231389523
255,-5.0,22,164.85654231389523
256,-3.3,12,161.55654231389522
257,0.0,5,161.55654231389522
258,2.0,7,163.55654231389522
259,-1.0,7,162.55654231389522
260,2.0,3,164.55654231389522
261,-2.0,2,162.55654231389522
262,-2.8,16,159.7565423138952
263,0.0,6,159.7565423138952
264,0.0,23,159.7565423138952
265,0.0,8,159.7565423138952
266,1.0,2,160.7565423138952
267,-1.0,5,159.7565423138952
268,-0.8571428571428572,13,158.89939945675235
269,2.0,5,160.89939945675235
270,0.0,2,160.89939945675235
271,1.75,12,162.64939945675235
272,6.7,14,169.34939945675234
273,-6.0,26,163.34939945675234
274,-2.5,16,160.84939945675234
275,5.0,11,165.84939945675234
276,0.0,24,165.84939945675234
277,-2.333333333333333,15,163.516066123419
278,1.0,7,164.516066123419
279,-0.5,3,164.016066123419
280,1.0,10,165.016066123419
281,-1.0,19,164.016066123419
282,8.0,5,172.016066123419
283,-2.5,23,169.516066123419
284,0.10000000000000009,23,169.616066123419
285,3.2,39,172.81606612341898
286,-0.4444444444444444,7,172.37162167897452
287,-0.6666666666666665,34,171.70495501230786
288,-0.4444444444444444,35,171.2605105678634
289,1.0,15,172.2605105678634
290,1.5,16,173.7605105678634
291,-2.0,15,171.7605105678634
292,0.0,12,171.7605105678634
293,-2.833333333333333,9,168.92717723453006
294,1.4285714285714288,14,170.35574866310148
295,0.0,5,170.35574866310148
296,2.0,33,172.35574866310148
297,-2.0,21,170.35574866310148
298,3.0,5,173.35574866310148
299,3.0,7,176.35574866310148
300,1.75,5,178.10574866310148
301,-1.0,2,177.10574866310148
302,3.0,4,180.10574866310148
303,1.0,3,181.10574866310148
304,1.0,6,182.10574866310148
305,0.0,9,182.10574866310148
306,1.0,13,183.10574866310148
307,1.8333333333333335,32,184.93908199643482
308,0.0,6,184.93908199643482
309,1.0,10,185.93908199643482
310,1.3333333333333333,12,187.27241532976817
311,0.0,4,187.27241532976817
312,0.0,3,187.27241532976817
313,0.0,2,187.27241532976817
314,8.0,10,195.27241532976817
315,-5.238095238095237,12,190.03432009167292
316,-5.571428571428571,13,184.46289152024434
317,5.0,11,189.46289152024434
318,-1.0,12,188.46289152024434
319,1.3333333333333333,5,189.79622485357768
320,0.0,3,189.79622485357768
321,0.0,2,189.79622485357768
322,-0.1111111111111111,7,189.68511374246657
323,5.333333333333333,16,195.0184470757999
324,-4.0,3,191.0184470757999
325,0.0,2,191.0184470757999
326,-1.0,4,190.0184470757999
327,-1.0,15,189.0184470757999
328,5.2,6,194.2184470757999
329,3.5,22,197.7184470757999
330,0.41666666666666674,21,198.13511374246656
331,5.222222222222222,18,203.3573359646888
332,-1.6666666666666665,9,201.69066929802213
333,0.0,10,201.69066929802213
334,-3.1818181818181817,10,198.50885111620394
335,5.166666666666667,6,203.6755177828706
336,0.8181818181818182,6,204.4936996010524
337,0.0,3,204.4936996010524
338,1.0,4,205.4936996010524
339,4.0,17,209.4936996010524
340,2.0,11,211.4936996010524
341,0.31818181818181823,16,211.81188141923423
342,3.0,17,214.81188141923423
343,-0.5714285714285712,27,214.24045284780564
344,-4.066666666666666,23,210.17378618113898
345,0.0,31,210.17378618113898
346,-0.6666666666666667,26,209.50711951447232
347,6.766666666666666,23,216.27378618113897
348,-4.277777777777779,54,211.9960084033612
349,-2.041666666666667,34,209.95434173669454
350,1.5,55,211.45434173669454
351,6.333333333333334,34,217.7876750700279
352,1.0,6,218.7876750700279
353,-1.0,14,217.7876750700279
354,-12.028571428571428,47,205.75910364145645
355,-0.4444444444444444,25,205.314659197012
356,-7.0,19,198.314659197012
357,1.9999999999999998,40,200.314659197012
358,14.399999999999999,51,214.714659197012
359,-9.6,45,205.114659197012
360,-2.0,28,203.114659197012
361,5.416666666666667,17,208.53132586367866
362,-2.777777777777778,21,205.7535480859009
363,-5.2,33,200.5535480859009
364,-5.0,21,195.5535480859009
365,-6.5,42,189.0535480859009
366,-1.0416666666666667,25,188.01188141923424
367,0.5,13,188.51188141923424
368,3.625,27,192.13688141923424
369,2.3333333333333335,17,194.47021475256759
370,0.9025974025974026,37,195.37281215516498
371,-1.75,4,193.62281215516498
372,0.0,2,193.62281215516498
373,-0.6666666666666667,7,192.95614548849832
374,2.4000000000000004,21,195.35614548849833
375,2.0,14,197.35614548849833
376,3.8787878787878785,26,201.2349333672862
377,-1.0,34,200.2349333672862
378,-2.8333333333333335,29,197.40160003395286
379,0.0,3,197.40160003395286
380,-2.0,9,195.40160003395286
381,-7.666666666666667,24,187.7349333672862
382,1.0,43,188.7349333672862
383,1.0,10,189.7349333672862
384,-0.02777777777777768,15,189.70715558950843
385,4.0,12,193.70715558950843
386,0.0,3,193.70715558950843
387,-3.0,7,190.70715558950843
388,-4.571428571428571,9,186.13572701807985
389,2.25,11,188.38572701807985
390,-1.3888888888888888,6,186.99683812919096
391,-1.0,7,185.99683812919096
392,0.0,18,185.99683812919096
393,0.0,8,185.99683812919096
394,-1.0,14,184.99683812919096
395,-1.4444444444444446,25,183.5523936847465
396,-0.6666666666666665,20,182.88572701807985
397,-0.6833333333333336,38,182.2023936847465
398,6.0,24,188.2023936847465
399,-8.75,30,179.4523936847465
400,-0.13333333333333308,20,179.31906035141319
401,-5.766666666666666,27,173.5523936847465
402,2.0,8,175.5523936847465
403,2.75,5,178.3023936847465
404,1.0,2,179.3023936847465
405,-1.7878787878787878,12,177.51451489686772
406,4.0,19,181.51451489686772
407,-4.5,11,177.01451489686772
408,-2.5,26,174.51451489686772
409,-1.0,13,173.51451489686772
410,-3.0,1,170.51451489686772
411,2.75,7,173.26451489686772
412,0.0,5,173.26451489686772
413,0.0,1,173.26451489686772
414,1.0,11,174.26451489686772
415,-2.5,11,171.76451489686772
416,2.220446049250313e-16,26,171.76451489686772
417,-1.0,17,170.76451489686772
418,3.0,28,173.76451489686772
419,-5.166666666666666,31,168.59784823020107
420,-5.666666666666667,40,162.9311815635344
421,-2.0,16,160.9311815635344
422,1.75,11,162.6811815635344
423,1.75,8,164.4311815635344
424,3.0,7,167.4311815635344
425,1.0,17,168.4311815635344
426,-1.0,17,167.4311815635344
427,2.0,4,169.4311815635344
428,1.0,11,170.4311815635344
429,2.0,2,172.4311815635344
430,3.0,6,175.4311815635344
431,4.5,18,179.9311815635344
432,3.0,22,182.9311815635344
433,-1.0,7,181.9311815635344
434,-3.0,16,178.9311815635344
435,0.0,6,178.9311815635344
436,-0.39682539682539675,12,178.53435616670902
437,0.3333333333333333,4,178.86768950004236
438,0.0,2,178.86768950004236
439,-3.25,12,175.61768950004236
440,2.0,9,177.61768950004236
441,0.0,4,177.61768950004236
442,0.0,2,177.61768950004236
443,-1.0,5,176.61768950004236
444,-1.0,7,175.61768950004236
445,4.0,36,179.61768950004236
446,-2.0,7,177.61768950004236
447,1.0,3,178.61768950004236
448,0.0,2,178.61768950004236
449,0.0,5,178.61768950004236
450,-5.0,7,173.61768950004236
451,0.0,4,173.61768950004236
452,-2.833333333333333,8,170.78435616670902
453,1.0,35,171.78435616670902
454,-1.1428571428571428,10,170.64149902385188
455,0.0,7,170.64149902385188
456,2.0,13,172.64149902385188
457,3.0,4,175.64149902385188
458,4.0,4,179.64149902385188
459,0.0,6,179.64149902385188
460,2.5,13,182.14149902385188
461,2.866666666666667,19,185.00816569051855
462,-1.5,17,183.50816569051855
463,1.1666666666666667,22,184.6748323571852
464,6.428571428571429,17,191.10340378575663
465,0.75,11,191.85340378575663
466,1.0,21,192.85340378575663
467,3.428571428571429,38,196.28197521432804
468,-5.25,16,191.03197521432804
469,7.5,26,198.53197521432804
470,-5.833333333333334,27,192.6986418809947
471,-2.0,8,190.6986418809947
472,1.0952380952380953,41,191.7938799762328
473,-1.0,13,190.7938799762328
474,3.0,40,193.7938799762328
475,-9.5,33,184.2938799762328
476,-7.733333333333334,43,176.56054664289945
477,3.8333333333333335,29,180.3938799762328
478,-3.0,25,177.3938799762328
479,0.25,34,177.6438799762328
480,1.5,20,179.1438799762328
481,4.0,23,183.1438799762328
482,-2.0,24,181.1438799762328
483,-3.0,11,178.1438799762328
484,-0.5,28,177.6438799762328
485,0.6000000000000001,38,178.2438799762328
486,-2.0,8,176.2438799762328
487,-1.0,22,175.2438799762328
488,-8.0,34,167.2438799762328
489,3.0,13,170.2438799762328
490,10.0,16,180.2438799762328
491,-1.0,38,179.2438799762328
492,-3.7142857142857144,20,175.52959426194707
